id_producto,nombre,categoria,precio
150,Almost Trade,Libros,834.57
151,Give Avoid,Deportes,613.61
152,My Economy,Jardín,12.78
153,Family Relationship,Jardín,302.88
154,Difficult Notice,Hogar,939.23
155,Cause Several,Ropa,268.14
156,Worry Us,Hogar,743.7
157,Own Part,Ropa,275.98
158,Material Eight,Automotriz,214.57
159,Still Material,Juguetes,207.58
160,Investment Customer,Deportes,507.88
161,Between Bill,Deportes,905.8
162,Reason Lawyer,Electrónica,96.84
163,Health Land,Belleza,830.19
164,Item Manage,Electrónica,8.53
165,Treat Shoulder,Ropa,638.92
166,Arm Report,Deportes,165.77
167,Ready Race,Libros,553.92
168,Billion Ask,Belleza,563.1
169,Interesting Should,Hogar,79.87
170,Group Such,Ropa,547.86
171,Boy Energy,Juguetes,584.59
172,Dark Customer,Ropa,432.63
173,List Challenge,Electrónica,311.71
174,Cover Family,Electrónica,899.42
175,Maintain Enjoy,Alimentos,683.65
176,Two Wind,Hogar,356.91
177,Bag Level,Jardín,884.71
178,System Training,Belleza,973.96
179,Total Oil,Ropa,926.13
180,Apply Reach,Alimentos,865.27
181,Now Think,Ropa,882.0
182,Administration Better,Electrónica,183.46
183,With Some,Juguetes,783.47
184,Time Economic,Belleza,803.22
185,Compare Investment,Alimentos,270.47
186,Medical Different,Hogar,385.63
187,Treatment Institution,Electrónica,859.29
188,Weight Artist,Alimentos,203.57
189,Community Hundred,Libros,352.91
190,Able In,Alimentos,226.81
191,Step Still,Alimentos,401.47
192,Look Feeling,Deportes,865.02
193,Same Side,Deportes,354.39
194,Only Recently,Jardín,402.68
195,Message Clear,Jardín,334.49
196,Customer Fine,Electrónica,119.76
197,Director Article,Deportes,182.67
198,Particularly Simply,Deportes,43.07
199,Occur Ask,Automotriz,437.39
200,Small Former,Juguetes,439.21
