id_venta,fecha,id_cliente,id_producto,cantidad
144,2025-12-14 21:25:39,279,114,5
145,2025-07-03 02:11:34,306,146,10
146,2025-04-17,268,26,4
147,2025-08-14 14:52:25,4,41,1
148,10-23-2025,243,121,5
149,2025-04-13 22:45:27,270,60,5
150,2025-05-23 04:10:43,427,51,7
151,28/01/2026,388,39,5
152,09-24-2025,335,146,5
153,2025-07-08,207,139,8
154,2025/08/06 03:19,340,65,1
155,15/03/2025,154,173,5
156,2025-04-22 21:18:40,130,72,3
157,2025-06-02 17:06:45,247,126,2
158,2025-09-01 05:51:19,456,83,2
159,2025-04-23 14:34:48,134,127,5
160,2025-04-20 03:12:22,436,10,8
161,2025-02-24 18:44:09,6,30,7
162,2025-09-17 16:49:12,328,169,9
163,2025-04-23 22:40:09,471,133,6
164,26/12/2025,461,114,1
165,2025-12-09 01:03:03,67,125,2
166,2025-02-24 11:18:50,98,62,3
167,2025-04-26 08:10:51,447,105,2
168,2025-10-01 04:16:36,224,30,8
169,2025-04-18 18:31:38,339,128,5
170,2025-03-19 08:52:26,85,124,8
171,2026-01-06 21:49:21,99,99,4
172,2025-08-26 10:03:28,171,35,2
173,2025-07-21,38,107,6
174,2025-11-12 05:24:36,423,149,8
175,2025-11-20 20:05:40,485,89,6
176,2025-04-09 06:52:07,166,117,6
177,2025-03-06 08:30:13,34,147,7
178,2025-07-06 17:13:13,244,12,6
179,2025-07-03 23:44:21,397,98,7
180,2025-07-19 18:17:16,63,10,3
181,2025-10-23 03:37:49,329,26,8
182,2025-10-02 14:55:36,462,4,3
183,2026-01-24 17:05:37,157,40,2
184,2025-03-06 14:28:18,493,87,10
185,2025-06-25 13:50:08,161,85,9
186,2025-06-02,461,184,8
187,2025-12-10 15:48:01,261,59,2
188,04/30/2025,39,163,2
189,2025-04-09 13:03:04,263,15,5
190,2025-07-12 15:00:08,99,63,9
191,"Jul 02, 2025",183,47,3
192,2025-05-11 08:27:13,224,150,3
193,2025-05-01 00:20:31,203,118,5
194,01-01-2026,382,74,9
195,2025-07-10 16:37:58,210,109,5
196,2025/12/10 03:52,412,99,8
197,2025-08-18 23:57:55,450,76,1
198,2025-02-17 22:04:42,141,145,1
199,2026-01-29 22:06:09,341,74,4
200,01/12/2025,286,163,4
201,01/18/2026,399,11,5
202,2026/01/03 06:23,57,84,7
203,2025-12-05 09:21:21,207,70,3
204,2025-03-31 12:19:56,369,124,5
205,2025-07-26 08:12:51,170,20,3
206,2025-04-18 20:17:28,325,173,7
207,2025-06-25 09:37:43,96,102,1
208,2025-02-20 21:16:59,355,95,5
209,2025-06-17 08:30:47,15,96,2
210,2026-01-24,213,144,6
211,2025-05-06,450,78,7
212,2025-11-12 04:56:21,173,61,9
213,2025-07-15 15:15:35,277,172,9
214,"Jul 03, 2025",199,40,7
215,2026-01-14 07:54:37,205,9,6
216,2026-01-28 03:37:02,216,61,6
217,2025-08-20 02:12:16,83,140,6
218,2025-10-19 03:20:15,350,32,8
219,03-27-2025,202,164,10
220,18/05/2025,365,53,2
221,18/01/2026,354,38,10
222,08-29-2025,185,45,2
223,"Aug 15, 2025",6,5,3
224,2025-10-30 18:41:11,295,115,6
225,2025/02/19 22:23,383,129,4
226,2025-08-31 14:37:20,303,16,8
227,2025-08-01 02:40:32,434,126,8
228,2025/12/07 02:23,284,156,3
229,2025/03/28 19:19,59,98,10
230,2026-01-15 07:49:43,144,30,9
231,2025-02-28 12:20:24,140,59,7
232,2025-04-07 11:22:46,44,107,2
233,2025-09-04 05:33:26,21,66,6
234,2025-10-03,441,18,2
235,2025-04-25 21:21:09,41,143,1
236,2025-03-14 14:57:25,438,85,2
237,2025-12-20 01:52:23,21,193,7
238,2025-04-29 03:46:19,319,80,6
239,2025-09-03 08:09:52,464,40,8
240,2025-09-13 04:10:58,92,143,6
241,2025-07-02 20:25:26,114,58,7
242,2025-08-31 23:23:59,12,160,10
243,08-08-2025,98,169,5
244,2026-01-06 23:55:59,182,37,10
245,2025-04-14 03:20:26,186,190,1
246,2025-10-18 16:31:00,500,97,7
247,2025-04-27 20:39:55,277,80,6
248,2025-06-23 05:43:52,327,14,3
249,2025-10-02 09:54:25,288,173,2
250,2025-05-19 16:05:39,311,125,10
251,2025-05-25 04:08:38,500,194,9
252,2025-10-31 17:43:03,177,73,10
253,2025-02-25 14:23:27,33,12,4
254,2025-07-16 10:58:27,333,2,4
255,2026-01-29 10:32:18,394,36,5
256,2026/01/28 06:23,380,128,7
257,2025-02-25 02:37:27,341,172,6
258,2025-04-17 00:40:56,9,11,7
259,2025-05-06 15:37:47,389,81,10
260,2026-01-05,254,164,7
261,2025-12-17,480,159,8
262,2025-12-16 11:17:48,411,21,7
263,2025-06-13 02:46:51,468,86,3
264,2025-03-28 07:03:35,136,136,9
265,11-30-2025,257,90,3
266,2025-10-13 06:26:58,39,195,2
267,2025-09-10 20:31:29,392,127,8
268,2026-01-25 23:24:38,174,175,10
269,2025-09-25 05:29:46,258,83,6
270,2025-02-01 10:00:02,266,114,5
271,2025-11-24 11:18:05,260,130,2
272,2025-05-19,48,15,6
273,2025-09-29 01:29:36,269,149,9
274,2026-01-07 11:42:23,426,147,4
275,03/20/2025,207,39,1
276,2025-03-13 09:01:12,399,45,1
277,03-10-2025,232,135,9
278,2025-08-19 01:54:23,354,87,10
279,"May 09, 2025",388,86,2
280,07/09/2025,287,155,3
281,2025-10-18 04:41:41,337,179,7
282,2025-04-14 20:20:59,252,22,5
283,"Sep 18, 2025",183,85,3
284,2025-05-06 12:26:31,198,47,4
285,07-27-2025,422,50,4
286,2025-12-26 01:22:27,324,139,9
287,2025-12-04 04:46:16,97,197,10
288,2025-03-04 22:44:45,339,42,3
289,2025-07-03 01:35:26,52,185,8
290,2025-05-10 16:10:22,278,185,4
291,2025-01-31 08:31:11,349,192,8
292,2025-11-07 13:23:33,198,121,4
293,2025-09-19 10:15:32,20,113,8
294,2025-05-05 05:54:01,105,136,7
295,"Oct 27, 2025",27,155,3
296,19/08/2025,195,183,9
297,2025-07-05 08:05:02,361,112,2
298,2025/02/02 15:06,327,90,1
299,2025-02-26 01:01:34,82,96,4
300,12-18-2025,491,183,6
301,2025-12-25 16:19:59,408,36,8
302,17/08/2025,435,21,1
303,2025-11-30,451,109,2
304,"Aug 30, 2025",208,160,8
305,2025-03-25,91,148,4
306,2025-03-17 19:03:34,366,48,2
307,2025-05-22 18:28:16,302,135,9
308,2025-12-24 14:12:57,403,142,1
309,2025/11/16,259,163,7
310,2025-12-10 21:11:11,109,188,2
311,2025-12-24 12:49:36,456,35,1
312,2025-04-16 16:54:59,247,165,3
313,"May 01, 2025",452,162,3
314,2025-03-08 11:29:25,183,52,1
315,10/11/2025,91,102,9
316,12-18-2025,14,168,6
317,2025-06-27 06:48:06,62,99,6
318,2025-09-13 09:42:39,201,95,9
319,2025-03-27 15:40:40,199,109,2
320,2026-01-04 10:41:44,214,47,9
321,2025-12-11 11:09:33,413,84,5
322,2026-01-21 16:09:43,19,110,3
323,2025-11-21 22:23:09,120,187,6
324,2025-12-17 02:43:55,300,164,1
325,2025-02-08 05:49:29,273,94,9
326,25/10/2025,296,156,8
327,"May 31, 2025",331,146,1
328,2026-01-04 05:00:47,314,20,10
329,2025-11-18 09:05:17,418,81,5
330,2025-12-11 18:10:10,280,189,3
331,2025-11-21 09:31:51,224,144,2
332,"May 07, 2025",472,115,4
333,2025-11-13 16:12:21,446,116,3
334,2025-03-10 12:38:57,426,175,6
335,2025-12-14 10:55:15,436,139,5
336,2025-12-09 13:09:41,77,182,3
337,2025-04-21 08:37:09,236,52,3
338,2025-11-24 20:50:09,280,93,9
339,2025-07-17 22:16:49,427,142,3
340,2025-05-21 17:25:39,230,80,7
341,11-16-2025,172,105,10
342,2025-04-23 04:40:21,146,133,6
343,2025-02-07 06:37:30,231,142,10
344,2025-04-10 02:01:03,41,111,9
345,29/05/2025,106,40,5
346,2025/12/11 09:07,218,73,2
347,2026-01-17 18:17:53,68,137,2
348,2025-05-11 06:13:59,43,149,3
349,2025-09-21,3,155,6
350,2025/06/24 23:42,324,148,5
351,2026-01-23 10:32:47,201,161,9
352,2025-08-13,459,124,4
353,2026-01-07 07:25:41,85,124,8
354,2025-03-13 12:34:28,296,81,6
355,2026-01-19 18:44:59,41,195,6
356,05/04/2025,129,62,8
357,16/01/2026,60,99,10
358,2025-05-06 05:48:05,323,81,4
359,2025-03-10 11:14:01,91,120,8
360,2025-07-07 16:38:50,80,101,9
361,"Oct 22, 2025",500,150,6
362,2025-05-24,466,121,5
363,2025-09-08,199,94,7
364,2025-08-04 14:03:59,242,74,2
365,2025-06-19 22:41:29,154,141,5
366,2025-08-28 14:20:29,23,33,2
367,2025/05/02 05:15,223,143,6
368,2025-10-15 17:14:54,48,36,6
369,2025-01-30 05:05:21,36,156,9
370,2026-01-02 14:18:25,100,82,3
371,2025-08-14 12:14:49,268,77,10
372,2025-10-19,241,137,8
373,"Oct 27, 2025",366,150,5
374,2025-10-01,46,199,10
375,11/06/2025,40,185,10
376,2025-02-24 16:03:27,177,49,1
377,2025-09-29 14:56:28,24,106,4
378,2025-05-30 05:01:38,100,121,1
379,2025-05-24 19:07:55,438,84,8
380,2025-12-05 19:24:38,404,45,8
381,2025-10-19 22:12:43,55,174,5
382,05-19-2025,334,64,5
383,2025-05-22 11:32:35,407,181,8
384,2025/06/28 10:28,294,185,5
385,2025-06-25,12,89,3
386,2025/05/17 07:47,330,192,8
387,2025-03-17 22:24:58,135,36,2
388,02/07/2025,34,63,1
389,2026/01/08 05:00,19,121,2
390,10-04-2025,301,122,8
391,2025-12-25 23:44:58,22,197,2
392,2025-09-11 06:22:26,26,190,1
393,2025-05-19 14:27:14,469,46,1
394,2025/08/17 01:21,137,192,5
395,2025-01-30 23:20:58,499,73,8
396,2025-05-14,478,35,9
397,2025-07-05 00:30:46,388,66,3
398,"Aug 29, 2025",96,76,10
399,2025-09-25 06:43:39,175,103,2
400,18/07/2025,110,83,4
401,07/10/2025,405,78,10
402,2025-04-18 05:48:54,23,120,5
403,2025-07-21 04:16:29,105,181,5
404,24/12/2025,211,76,6
405,2025-11-16 19:59:49,197,96,7
406,2025-04-01 09:00:35,70,138,4
407,2025-03-01 16:15:56,125,21,9
408,2025/08/06 04:05,474,20,10
409,2025-09-18 11:56:47,482,39,3
410,2025-06-01 21:13:54,364,30,4
411,2025-11-24 02:01:32,152,131,8
412,"Oct 31, 2025",453,107,8
413,2025-10-02 00:06:35,497,102,5
414,2025-04-21 15:25:34,498,19,1
415,2025-04-12 02:30:46,113,139,1
416,07/02/2025,122,9,5
417,2025-04-29 13:55:32,399,108,6
418,2025-07-22 02:55:18,130,97,7
419,2025-12-06 23:47:40,239,139,3
420,2025-02-25 14:18:38,23,46,9
421,2025-06-30 00:49:39,199,58,1
422,2025-09-16 15:26:31,35,173,9
423,2025-04-10 16:46:15,214,59,4
424,2025-10-11 01:10:22,220,49,2
425,2025-07-29,338,158,1
426,2025-04-29 08:54:37,466,181,1
427,2025-09-26,249,113,4
428,2025-02-01 11:36:39,162,188,10
429,2025-10-31 08:37:31,86,173,6
430,2025-11-07 08:02:52,296,170,9
431,2025-03-09 21:32:30,300,16,9
432,2025-07-04 20:14:16,42,45,7
433,2025-04-04 19:05:42,46,89,7
434,2026-01-14 10:55:06,366,105,3
435,2025-08-07 08:46:24,107,138,8
436,2025-02-17 16:51:29,430,182,3
437,2025-04-30 20:17:24,438,106,7
438,2025-12-05 07:24:11,158,63,5
439,2025-07-15 03:21:59,413,116,6
440,2025-11-18 09:46:27,409,49,1
441,2025/09/30 02:38,340,155,1
442,2026-01-25 11:02:19,452,54,6
443,2025-09-04 04:16:16,72,55,4
444,2026-01-11 22:00:20,107,123,4
445,2025-12-21 11:42:34,418,62,9
446,2025-09-10 23:37:09,251,120,9
447,2025-10-19 18:06:19,74,93,9
448,2025-08-02 11:39:33,427,185,8
449,2025-11-29 01:39:52,277,81,7
450,2025/08/17 00:35,468,190,3
451,2025-12-23 08:22:29,339,51,6
452,2025-10-28 20:02:53,341,63,8
453,2025-07-22 17:47:24,467,87,5
454,05-04-2025,202,190,8
455,2025-04-30 23:22:03,147,48,9
456,2025-09-19 01:45:58,411,9,2
457,2025-11-05 02:28:28,282,36,4
458,2025-08-08 16:36:10,141,56,9
459,2025-09-15 17:35:34,473,164,10
460,2025-05-10 20:05:05,378,2,9
461,2025-02-27 19:30:20,378,136,5
462,2025-05-14,378,129,7
463,"May 09, 2025",213,135,5
464,2025-05-26,31,145,4
465,2025-08-15 14:45:20,393,9,2
466,21/03/2025,447,122,1
467,2025-04-24 03:28:19,399,85,10
468,2025-10-10 07:41:50,212,11,4
469,2025-10-14,145,146,8
470,2025-02-22 06:31:48,470,145,1
471,"Jun 27, 2025",240,5,4
472,2025-08-16 14:10:07,386,62,10
473,2025-06-30 05:05:43,362,85,7
474,2025-04-15 18:13:59,281,186,2
475,2025-07-02,431,14,2
476,12-26-2025,416,153,7
477,2025-08-31 13:40:07,29,92,9
478,2025-10-10 03:07:12,146,150,7
479,"Dec 08, 2025",57,64,2
480,2025-11-05,268,100,6
481,"Jun 17, 2025",39,70,2
482,2025-02-01 03:15:46,65,27,1
483,2025-06-07 11:48:43,111,153,10
484,2025-11-01 14:07:09,115,75,7
485,2025-12-07 20:49:27,133,144,4
486,01/13/2026,467,98,3
487,2025-07-01 10:54:49,225,71,7
488,2025-10-29 08:58:41,389,93,5
489,2025-08-17 07:07:10,63,153,10
490,2025-09-07 14:24:24,425,78,1
491,2025-04-20 16:01:40,213,98,6
492,2025-04-20 04:57:22,443,167,10
493,2025-07-08 17:26:24,289,178,4
494,2025-02-09 10:36:40,316,102,6
495,2025-06-01 08:49:35,76,126,10
496,2025-10-04 04:08:47,205,101,6
497,2025-06-26 06:33:03,88,152,9
498,2025-03-31 07:37:59,436,7,8
499,2025-07-19 14:53:47,47,178,2
500,17/03/2025,317,163,5
501,2025-09-14 17:26:54,446,115,10
502,02-08-2025,26,130,7
503,2025-06-22 03:58:55,243,164,2
504,2025-08-24 06:03:22,287,171,6
505,2025-02-08 12:04:23,259,145,7
506,2025/09/21 03:35,357,28,1
507,2025-03-20 16:13:49,281,148,4
508,2025-07-17,35,198,10
509,2025-02-17 05:09:29,246,22,2
510,2025-06-17 18:58:23,460,117,4
511,2025-04-17 16:28:23,295,25,8
512,2025-05-29 00:49:20,430,12,2
513,2025-11-03 08:52:50,388,28,3
514,2025-06-17 20:23:00,447,41,6
515,"Oct 31, 2025",269,60,7
516,2025-11-29 21:33:41,327,51,8
517,2025-05-02,13,181,4
518,2025-02-28,482,48,6
519,2025-02-06 21:44:06,451,164,6
520,2025-08-14 12:40:03,30,151,2
521,2026-01-29 10:49:46,401,159,3
522,06-06-2025,61,22,3
523,2025-09-24 15:13:39,186,131,7
524,2025-11-11 06:45:47,496,99,7
525,09-24-2025,104,178,3
526,2025-11-01 13:04:19,11,159,1
527,2026-01-11 13:58:44,422,35,4
528,2025-04-12 14:53:46,49,168,8
529,2025/02/06 17:47,85,182,8
530,2025-03-26 08:11:10,47,9,5
531,2025-03-17 20:35:40,455,200,8
532,2025-10-01,394,127,9
533,2025-08-23 16:04:10,192,139,1
534,2025-04-19 10:50:21,311,27,4
535,2025-10-12 12:41:28,217,116,5
536,2025/11/05 08:37,175,113,2
537,2025-04-01 06:02:35,477,162,7
538,2025-09-08 02:09:40,395,53,4
539,10-29-2025,308,72,10
540,2025-03-12 04:56:11,181,132,2
541,2025-11-25 10:05:49,420,106,1
542,01-17-2026,64,180,3
543,2025-03-10 05:10:34,278,101,8
544,2025-02-08 13:39:34,475,161,7
545,2025-05-23 14:40:02,76,197,2
546,2025-10-04 16:33:17,299,178,6
547,2026-01-14 03:23:28,437,149,1
548,2025-06-23 02:18:20,401,163,6
549,2025-10-17 07:42:47,418,56,7
550,2025-02-26 19:55:37,6,73,6
551,"Oct 09, 2025",365,125,6
552,2025-09-15 00:01:28,396,113,8
553,2025-03-08 23:39:56,160,52,3
554,2025-11-07 23:49:58,440,71,2
555,2025-12-06 01:53:07,358,96,3
556,2025-09-06 15:37:40,306,186,4
557,2025-03-15 07:46:13,472,25,1
558,2026-01-24 18:54:44,283,152,4
559,2025-11-11 04:23:26,141,3,6
560,"Jun 05, 2025",373,178,3
561,05/07/2025,195,81,6
562,2025-06-14 00:18:30,143,136,10
563,2025-08-02 07:45:25,52,113,6
564,2025-06-03 16:06:24,24,106,10
565,2025-12-06 04:29:02,175,26,3
566,2025-11-26 11:27:02,331,90,7
567,2025-03-09 09:02:07,381,71,2
568,2026-01-15 10:22:25,319,185,10
569,2025-09-18 07:28:48,407,7,5
570,2025-11-28 10:45:37,241,49,7
571,"Oct 15, 2025",395,62,8
572,2025/07/07 11:31,398,4,6
573,2025-10-24,326,196,8
574,2026/01/17 18:26,229,16,7
575,2025-05-08 19:34:31,249,22,9
576,2025-11-20 02:52:37,299,22,5
577,2025-08-14 11:53:47,439,40,9
578,2025-07-25 11:17:34,76,196,2
579,"Jul 07, 2025",292,62,1
580,23/10/2025,333,80,3
581,2025-05-07 18:49:53,93,89,9
582,12-06-2025,323,67,3
583,2025-11-29,152,8,6
584,2025-03-02 16:34:23,392,20,8
585,2025-12-17 06:04:33,333,128,10
586,2025-04-29 20:53:43,203,198,2
587,2025-07-18,414,59,9
588,2025-09-09 01:17:15,331,39,3
589,2025-06-17 08:10:27,224,183,7
590,2025-02-09 09:52:34,366,185,6
591,2025-12-06 18:16:43,20,96,2
592,2025-04-06 18:46:43,102,46,4
593,2025-04-17 16:56:00,416,103,2
594,2025-11-17 03:08:42,354,80,6
595,2025-06-03 10:36:59,141,95,4
596,2025-12-17 08:49:55,488,190,10
597,2025-10-12 19:53:58,61,127,4
598,2025/05/10 14:55,368,39,1
599,2025-02-02 00:03:11,89,3,6
600,11/01/2026,307,189,5
601,02/03/2025,46,37,5
602,2025-10-19 03:05:28,450,96,8
603,2025-07-27 02:43:28,49,35,7
604,11-02-2025,215,112,3
605,2025-10-09 11:34:48,408,189,6
606,2025-09-22 04:57:20,162,20,4
607,"Jul 28, 2025",267,28,3
608,2025-11-15 16:27:13,320,198,4
609,2025-03-04 05:44:18,493,31,2
610,04-20-2025,488,181,10
611,10-09-2025,54,92,7
612,2025-05-21 20:14:29,303,104,8
613,2025-08-30 03:42:37,377,25,8
614,2025-07-21 02:14:43,317,32,1
615,2025-08-11 14:35:05,468,34,4
616,2025-07-04 21:12:06,40,166,2
617,"Oct 29, 2025",130,20,1
618,2025-05-30 01:33:16,305,85,2
619,2025-10-13 15:46:14,288,44,10
620,2025-05-08 13:56:05,376,128,1
621,"May 01, 2025",326,91,4
622,"Mar 15, 2025",213,158,4
623,2025-04-10 04:59:47,175,72,7
624,2025-03-14 22:57:54,191,135,4
625,2025-08-13 13:04:29,470,5,7
626,2025-11-04 20:35:41,156,125,6
627,2025-04-07 00:56:56,158,70,3
628,2025-04-18 02:07:59,286,8,5
629,2025-07-25 21:15:44,122,136,6
630,2025-10-21 09:01:27,384,41,2
631,2026-01-21 07:59:18,127,137,1
632,2025/08/09 06:19,185,100,6
633,2025-05-13 12:48:15,320,152,1
634,2025-03-07 06:51:12,386,37,10
635,2025-04-10,426,127,9
636,2025/04/23 17:24,286,6,9
637,2025/04/05 02:10,19,46,6
638,2025-02-04 02:38:26,177,135,6
639,08-12-2025,164,170,7
640,2025-05-10 23:38:09,402,112,8
641,2026/01/20 12:59,315,144,10
642,2025-08-19,262,177,5
643,10-11-2025,30,198,10
644,2025-03-17 03:47:25,468,164,10
645,2025-12-12 08:39:54,186,85,2
646,2025-07-28 23:16:08,129,43,2
647,2025-12-14,499,115,1
648,2025-08-27 14:03:05,3,1,1
649,2025-07-20 17:57:09,338,43,7
650,2025-07-09 03:41:34,92,140,7
651,2025-04-07 05:55:19,101,148,4
652,2025-02-17 00:43:51,78,9,5
653,"Jan 08, 2026",93,27,2
654,2025-07-23 21:37:40,164,24,6
655,2025-11-26 15:42:14,155,124,1
656,06-25-2025,52,156,7
657,2025-02-26 09:39:28,180,142,9
658,2025-09-16 01:48:25,79,61,2
659,2025-02-18 01:59:04,436,126,3
660,2025-03-25 22:45:31,103,23,5
661,08-23-2025,88,25,1
662,2025-05-20 17:08:47,414,79,7
663,2026-01-27 23:22:10,239,68,2
664,2025-03-14,344,95,7
665,2025-11-05,167,69,10
666,2025-09-08 08:17:00,87,106,10
667,2025-11-14 15:14:30,454,100,9
668,2025-04-22 08:34:46,270,122,10
669,2025-08-08 18:16:51,413,102,1
670,"Jul 13, 2025",372,147,10
671,2025-07-10,46,55,4
672,2025-12-09,214,161,3
673,2026-01-26 18:55:16,447,84,5
674,2025-05-21 21:23:34,440,4,10
675,2025/09/13 05:26,338,29,7
676,2025-09-09 03:40:37,481,28,10
677,"Oct 27, 2025",200,138,6
678,2026-01-10 05:14:15,326,71,7
679,2025-04-15 01:24:43,146,178,7
680,2025-04-17 01:47:40,171,85,4
681,2025-09-28 00:44:11,246,69,6
682,2025-03-28 10:12:25,208,78,5
683,"Apr 03, 2025",181,179,2
684,"Feb 26, 2025",292,107,10
685,2025-01-30 13:36:49,9,125,9
686,2025-07-13 11:19:39,91,41,2
687,03/09/2025,424,35,9
688,05-16-2025,360,64,1
689,2025-04-24 14:27:08,214,119,9
690,2025-10-15 08:48:31,275,175,1
691,2025-10-13 17:16:44,243,115,3
692,2025-07-14 09:25:03,92,89,3
693,2025-10-07 00:59:57,281,24,5
694,2026-01-02 08:03:32,479,147,4
695,2025-11-13 23:43:24,278,53,5
696,2025-09-15 17:15:40,347,200,1
697,2025/09/28 00:18,388,45,10
698,2026-01-05 15:25:49,54,182,5
699,07-04-2025,161,90,8
700,2025-08-16 00:16:03,418,150,2
701,2025-09-23 23:34:08,131,96,9
702,12-27-2025,428,77,2
703,27/11/2025,74,168,5
704,2025-02-25 11:38:08,27,154,7
705,"Mar 31, 2025",323,7,8
706,2025-05-22 06:54:52,255,182,10
707,2025-10-30 23:14:25,264,57,9
708,2025-08-25 18:28:14,22,172,6
709,"May 15, 2025",233,169,9
710,2025-03-16 12:13:12,346,144,3
711,2025-10-08 11:10:50,468,91,4
712,2025-10-12 09:29:12,140,85,6
